id,subject_id,teacher_id,group_id
1,29,37,5
2,52,48,7
3,47,83,9
4,13,22,10
5,15,92,3
6,18,38,2
7,31,56,2
8,58,41,4
9,8,88,1
10,48,9,5
11,9,50,1
12,5,20,9
13,25,69,3
14,8,100,8
15,21,48,2
16,24,87,10
17,65,51,10
18,68,13,5
19,26,66,9
20,45,53,7
21,28,16,9
22,30,55,6
23,23,95,10
24,55,25,10
25,1,36,6
26,1,96,4
27,56,54,7
28,61,14,6
29,24,55,3
30,6,80,4
31,21,34,3
32,43,70,6
33,46,88,3
34,67,70,6
35,28,10,8
36,27,88,3
37,25,20,8
38,63,88,6
39,11,53,5
40,40,2,4
41,49,20,6
42,58,23,6
43,48,16,8
44,38,26,9
45,24,98,9
46,33,39,9
47,42,23,7
48,62,13,1
49,1,72,9
50,66,4,8
51,31,63,9
52,13,34,4
53,58,81,3
54,9,85,4
55,56,99,5
56,40,80,7
57,27,10,5
58,6,8,8
59,11,56,5
60,49,67,4
61,66,56,6
62,59,84,7
63,44,54,9
64,56,55,8
65,2,87,9
66,23,99,9
67,7,19,6
68,31,69,3
69,7,78,6
70,51,48,7
71,3,53,8
72,21,2,6
73,43,53,8
74,52,28,8
75,20,8,5
76,18,27,3
77,50,20,8
78,48,100,8
79,64,18,10
80,50,71,2
81,5,15,9
82,47,18,8
83,3,71,9
84,22,4,3
85,50,8,9
86,55,70,9
87,51,78,2
88,69,31,7
89,22,4,9
90,42,58,10
91,8,93,4
92,38,72,10
93,26,76,8
94,5,73,3
95,68,31,5
96,23,27,8
97,31,22,8
98,56,60,7
99,50,1,3
100,11,17,10
101,42,7,2
102,24,80,6
103,1,53,4
104,34,30,2
105,32,32,10
106,13,45,6
107,25,4,8
108,19,53,3
109,56,23,6
110,49,95,10
111,30,58,1
112,9,28,8
113,71,36,4
114,48,3,4
115,18,75,2
116,6,37,7
117,67,54,6
118,46,37,9
119,60,90,8
120,22,2,5
121,7,23,6
122,53,33,3
123,1,32,5
124,44,49,5
125,25,55,6
126,61,22,10
127,51,84,7
128,9,20,7
129,24,52,6
130,10,98,10
131,46,34,5
132,57,63,4
133,40,40,8
134,7,6,9
135,72,26,2
136,21,3,7
137,9,56,9
138,39,78,2
139,67,22,2
140,45,54,6
141,17,69,8
142,6,26,6
143,26,79,8
144,48,71,5
145,20,75,1
146,33,98,3
147,44,58,4
148,29,81,2
149,14,60,10
150,20,64,2
151,11,39,8
152,14,69,6
153,6,49,3
154,71,46,1
155,43,61,7
156,19,76,1
157,63,64,9
158,7,27,3
159,9,14,10
160,32,53,4
161,70,1,3
162,11,13,8
163,52,33,7
164,41,65,8
165,63,26,1
166,62,55,7
167,13,1,2
168,34,6,9
169,58,78,9
170,61,77,1
171,66,23,6
172,18,21,6
173,49,83,7
174,28,50,2
175,48,31,5
176,28,73,8
177,22,15,5
178,63,1,7
179,19,16,1
180,40,96,8
181,61,7,4
182,58,60,4
183,70,57,5
184,38,81,4
185,61,7,1
186,15,86,6
187,26,1,8
188,51,14,5
189,63,2,5
190,58,12,10
191,3,33,4
192,10,16,1
193,10,19,10
194,60,32,10
195,37,90,1
196,50,92,9
197,26,62,6
198,29,74,6
199,3,21,9
200,40,25,7
201,46,56,7
202,19,2,5
203,56,40,8
204,22,53,3
205,59,41,6
206,22,23,1
207,51,80,2
208,41,47,10
209,36,75,10
210,39,79,5
211,25,70,7
212,2,89,2
213,43,67,4
214,9,97,7
215,5,10,3
216,6,82,7
217,60,94,6
218,19,20,1
219,42,64,7
220,9,57,10
221,44,56,1
222,10,94,3
223,26,82,3
224,65,17,3
225,1,18,2
226,61,48,4
227,62,53,5
228,27,94,5
229,13,8,9
230,18,64,6
231,64,10,9
232,34,24,6
233,28,56,2
234,47,53,3
235,51,27,7
236,12,14,6
237,31,96,6
238,31,18,5
239,34,37,5
240,4,26,8
241,43,72,5
242,54,91,6
243,58,84,5
244,10,3,6
