id,teacher_id,date,duration
1156,101,2024-05-01 02:09:39,00:59:00
1157,101,2023-12-31 18:36:04,01:34:00
1158,101,2024-07-11 17:08:44,02:08:00
1159,101,2024-09-27 17:41:11,02:57:00
1160,101,2024-05-27 03:42:31,01:33:00
1161,101,2023-06-13 19:26:15,00:56:00
1162,101,2024-11-24 14:36:33,01:43:00
1163,101,2023-11-12 01:04:13,02:14:00
1164,101,2023-02-14 17:46:24,02:13:00
1165,101,2024-09-10 08:25:34,02:29:00
1166,101,2023-12-12 02:46:58,01:33:00
1167,101,2024-08-18 15:59:32,01:24:00
1168,101,2024-03-17 19:12:22,00:45:00
1169,101,2023-04-07 01:38:23,02:44:00
1170,101,2023-05-07 01:24:40,00:56:00
1171,101,2023-12-26 02:48:23,00:46:00
1172,101,2023-08-06 03:50:53,02:00:00
1173,101,2024-11-11 03:37:27,02:49:00
1174,101,2023-12-10 01:15:11,01:37:00
1175,101,2024-08-30 22:06:02,02:42:00
1176,101,2023-10-20 17:24:05,02:33:00
1177,101,2024-05-29 15:14:38,02:31:00
1178,102,2023-12-14 16:33:34,01:39:00
1179,102,2024-04-09 22:58:07,01:58:00
1180,102,2024-02-12 14:34:49,02:40:00
1181,102,2023-12-25 01:13:22,00:59:00
1182,102,2024-06-05 07:49:06,02:57:00
1183,102,2024-04-21 05:54:13,00:59:00
1184,102,2024-05-20 23:38:20,02:24:00
1185,102,2023-10-01 13:20:58,00:56:00
1186,102,2023-04-16 20:31:38,01:51:00
1187,102,2023-10-29 19:52:35,01:23:00
1188,102,2023-06-18 02:50:36,01:58:00
1189,102,2023-12-11 12:56:17,00:45:00
1190,102,2024-07-11 03:35:52,02:08:00
1191,102,2023-02-14 12:19:01,02:02:00
1192,102,2023-02-07 13:15:48,00:35:00
1193,102,2023-03-15 16:45:36,03:00:00
1194,102,2023-11-07 11:42:04,02:46:00
1195,102,2024-02-08 14:07:44,00:47:00
1196,102,2023-06-09 07:28:36,02:30:00
1197,102,2023-02-21 03:02:39,02:26:00
1198,102,2023-05-22 17:33:17,02:39:00
1199,102,2023-04-24 21:54:42,01:35:00
1200,102,2023-06-02 12:27:37,02:01:00
1201,102,2023-05-19 23:51:17,00:50:00
1202,103,2024-12-23 00:31:02,01:57:00
1203,103,2023-04-27 09:47:00,01:20:00
1204,103,2024-11-09 04:48:55,01:28:00
1205,103,2023-08-21 12:36:34,02:57:00
1206,103,2023-06-09 20:54:22,02:36:00
1207,103,2024-03-11 06:28:52,00:33:00
1208,103,2023-10-01 03:51:13,02:42:00
1209,103,2024-11-06 18:19:39,02:37:00
1210,103,2023-01-12 16:03:41,00:57:00
1211,103,2023-07-23 18:47:10,01:56:00
1212,103,2024-11-13 04:25:45,02:59:00
1213,103,2023-06-10 12:22:41,00:37:00
1214,103,2023-12-30 12:11:21,00:42:00
1215,103,2024-08-21 05:01:24,02:32:00
1216,105,2023-05-10 19:00:41,01:09:00
1217,105,2024-02-15 09:55:37,00:51:00
1218,105,2023-06-20 00:53:10,01:50:00
1219,105,2023-05-26 20:51:13,00:34:00
1220,105,2023-11-18 00:47:55,02:12:00
1221,105,2024-02-28 00:30:54,02:53:00
1222,105,2023-11-06 06:31:19,02:49:00
1223,105,2024-05-10 19:44:55,01:27:00
1224,105,2023-05-22 23:53:23,00:56:00
1225,105,2024-10-04 18:01:57,01:32:00
1226,106,2024-02-05 18:00:20,02:46:00
1227,106,2023-08-25 02:21:03,02:03:00
1228,106,2023-02-01 00:38:21,01:14:00
1229,106,2023-11-14 19:26:04,02:48:00
1230,107,2023-01-16 11:16:05,01:18:00
1231,107,2024-07-29 19:55:13,01:51:00
1232,107,2023-01-11 01:06:53,01:27:00
1233,107,2024-12-21 00:27:17,02:33:00
1234,107,2023-09-17 07:27:29,01:30:00
1235,107,2024-04-04 13:56:21,01:22:00
1236,107,2024-02-08 19:19:59,01:45:00
1237,107,2023-07-22 07:09:47,00:35:00
1238,107,2024-03-27 17:17:31,02:42:00
1239,107,2024-02-17 13:34:50,02:55:00
1240,107,2024-06-02 08:21:56,00:53:00
1241,107,2023-09-03 16:41:56,02:23:00
1242,107,2024-10-02 17:48:17,00:34:00
1243,107,2024-11-07 22:15:12,02:16:00
1244,107,2024-05-06 10:03:34,01:12:00
1245,107,2023-04-08 02:28:27,02:21:00
1246,107,2023-09-11 09:00:21,01:16:00
1247,107,2023-12-30 11:51:46,01:42:00
1248,107,2023-06-15 03:29:13,01:34:00
1249,107,2023-04-04 13:55:57,02:18:00
1250,107,2023-12-09 10:13:43,02:13:00
1251,107,2023-10-19 18:19:05,00:48:00
1252,107,2024-10-05 08:34:32,01:07:00
1253,107,2024-11-24 04:30:38,02:13:00
1254,107,2023-06-03 16:29:02,01:54:00
1255,108,2023-09-03 14:24:16,00:50:00
1256,108,2023-05-15 08:49:03,01:01:00
1257,108,2023-03-04 13:27:34,00:55:00
1258,108,2024-11-24 14:56:43,01:12:00
1259,108,2024-05-21 16:35:21,01:35:00
1260,108,2023-01-13 19:56:07,01:13:00
1261,108,2024-10-06 09:58:01,02:21:00
1262,108,2024-01-04 21:09:57,01:52:00
1263,108,2023-11-17 05:58:51,01:33:00
1264,108,2023-02-14 22:33:12,00:34:00
1265,108,2023-03-27 04:24:53,01:14:00
1266,109,2023-11-21 22:02:24,02:57:00
1267,109,2024-05-11 15:24:35,02:46:00
1268,109,2023-10-23 10:48:33,01:08:00
1269,109,2024-08-07 05:59:20,00:53:00
